Column,Spearman Correlation,Spearman p-value,Pearson Correlation,Pearson p-value
KDM5B|KDM5B,-0.198553528,0.045441647,-0.214157178,0.030666972
KIAA1430|KIAA1430,0.220946769,0.0256409,0.214823589,0.030139337
KIF18B|KIF18B,0.246401995,0.047857326,0.259803443,0.036618215
KLC1|KLC1,-0.27849932,0.004017906,-0.216910836,0.026242715
KLHL7|KLHL7,-0.242919485,0.017692635,-0.24652231,0.016027581
KRT16|KRT16,-0.261838917,0.006972018,-0.265055416,0.006284557
KRT6A|KRT6A,-0.221203341,0.023347741,-0.222308074,0.022648482
KRT80|KRT80,-0.225723513,0.020598919,-0.246478251,0.011255975
KRT9|KRT9,0.222161906,0.024819785,0.19492326,0.049618201
LMO4|LMO4,0.20412662,0.046055732,0.20712602,0.042883552
LOXL2|LOXL2,-0.231016054,0.017738065,-0.244062543,0.012106504
LOXL3|LOXL3,-0.211356507,0.046782012,-0.230457669,0.029800249
LRCH4|LRCH4,0.228653479,0.018969717,0.195259305,0.04592094
LRP10|LRP10,0.415857826,0.001434994,0.38936625,0.003016508
LYSMD2|LYSMD2,0.272911294,0.004851818,0.265168263,0.00626157
MAP2K7|MAP2K7,0.208185058,0.033078034,0.222680966,0.022416538
MAP7D3|MAP7D3,0.279452396,0.003889242,0.227296186,0.01971009
MAPK13|MAPK13,-0.267006371,0.005897508,-0.23637764,0.015196403
MED31|MED31,-0.273392107,0.006180671,-0.219905587,0.028735862
MICAL1|MICAL1,0.269702586,0.005397481,0.283752963,0.003353357
MLH1|MLH1,-0.218601131,0.02506818,-0.26187186,0.006964652
MLLT4|MLLT4,0.238107334,0.014446873,0.250163654,0.010059097
MYO19|MYO19,0.209379358,0.032061891,0.269219386,0.005484218
MYO1G|MYO1G,0.194434797,0.046864205,0.194159826,0.047182332
NAA40|NAA40,-0.249723969,0.010195761,-0.194230283,0.047100647
NAMPT|NAMPT,-0.252103933,0.009475028,-0.196741022,0.044265415
NCCRP1|NCCRP1,-0.242508281,0.012682942,-0.260741932,0.007221251
NFATC3|NFATC3,-0.214101694,0.028298338,-0.220417671,0.023856207
NMD3|NMD3,-0.330071924,0.000584638,-0.360982288,0.000154902
NRIP2|NRIP2,0.24944089,0.011462269,0.211176092,0.033123894
NTMT1|NTMT1,-0.255685205,0.008474845,-0.267645619,0.005775375
NUB1|NUB1,0.238905621,0.014111925,0.195710939,0.045410971
NUMB|NUMB,-0.200214605,0.040578165,-0.200390554,0.040398434
NUP107|NUP107,-0.297076921,0.002087552,-0.243923379,0.012157168
OGFR|OGFR,0.201593987,0.039186887,0.212799313,0.029296808
PALD1|PALD1,0.230777605,0.017859158,0.239348946,0.013928846
PARD3|PARD3,-0.223743346,0.021766848,-0.245447386,0.01161231
PARP14|PARP14,0.264186447,0.006464087,0.256959871,0.008141993
PFAS|PFAS,0.224132703,0.021532817,0.203307101,0.037514782
PFKFB3|PFKFB3,0.25200479,0.009504134,0.197486599,0.043451337
PGK1|PGK1,-0.25594439,0.00840621,-0.239254526,0.013967665
PHACTR2|PHACTR2,0.231094408,0.01769843,0.214502948,0.027996599
PIK3CD|PIK3CD,0.202034601,0.038750973,0.206026111,0.034983882
PLEKHA4|PLEKHA4,0.265477232,0.016606323,0.239324207,0.031411881
PLIN2|PLIN2,-0.227890293,0.019383014,-0.219432218,0.024507323
PLK1|PLK1,-0.265028861,0.009065688,-0.268013407,0.008288863
POLA2|POLA2,-0.271967861,0.005006911,-0.245974852,0.011428769
POMP|POMP,-0.326691307,0.000670549,-0.285354899,0.003171338
PPP1CB|PPP1CB,-0.292619711,0.002452328,-0.253668045,0.009026106
PPP1R13L|PPP1R13L,-0.201759342,0.039022817,-0.22478342,0.021146508
PRAM1|PRAM1,0.242653424,0.012628117,0.277772274,0.004118603
PRKAR2B|PRKAR2B,0.242814118,0.012567659,0.205425555,0.035530169
PRKCB|PRKCB,0.232483037,0.017008569,0.2603037,0.007322998
PSMB5|PSMB5,-0.372473602,9.12E-05,-0.334198017,0.000493499
PSMB8|PSMB8,0.213049406,0.02910279,0.214430894,0.028050581
PSMD10|PSMD10,-0.317163696,0.000978619,-0.288323095,0.002857373
PSME1|PSME1,0.195197305,0.045991319,0.193255392,0.048241359
PSME2|PSME2,0.215045124,0.027593233,0.21409078,0.028306583
PTK2|PTK2,-0.212214833,0.029754517,-0.209967911,0.031570911
PTPN7|PTPN7,0.192532385,0.049102033,0.199641148,0.041168589
RAB38|RAB38,-0.24955472,0.012736628,-0.308170526,0.001914341
RAD54L2|RAD54L2,0.264473292,0.010413683,0.215940415,0.037627979
RASA4|RASA4,0.244489082,0.011952368,0.192345096,0.049327042
RBBP7|RBBP7,-0.312955356,0.001151993,-0.254091278,0.008907896
RCN2|RCN2,-0.266026655,0.006089144,-0.252364592,0.00939888
RFX5|RFX5,0.239729827,0.013773208,0.233499426,0.016518485
RNF167|RNF167,0.233967968,0.033265286,0.225564168,0.040332563
S100A6|S100A6,-0.21592635,0.02694816,-0.23041729,0.018043491
SAMD9|SAMD9,0.25393962,0.008950097,0.202583072,0.038214033
SBDS|SBDS,-0.204056243,0.036802602,-0.241042374,0.013248399
SEC11C|SEC11C,0.258111838,0.007851155,0.2434471,0.012331962
SET|SET,-0.213282672,0.02892281,-0.192858433,0.048712343
SHBG|SHBG,-0.2215973,0.023096288,-0.195604509,0.045530723
SLC25A32|SLC25A32,0.322529644,0.030708931,0.298262449,0.04658489
SLC39A11|SLC39A11,0.243429237,0.013685221,0.289340075,0.003182471
SLMO2|SLMO2,-0.359007763,0.01221493,-0.304062065,0.035631651
SNPH|SNPH,0.340286891,0.014553965,0.36548148,0.008357417
SNX12|SNX12,-0.228227232,0.019199601,-0.273606369,0.004740308
SNX16|SNX16,-0.25722476,0.008074288,-0.209346401,0.032089574
SP110|SP110,0.233583188,0.016478648,0.197830169,0.043080416
SP140|SP140,0.423325881,0.000835901,0.405525105,0.001440775
STARD5|STARD5,0.334316506,0.000491086,0.293335346,0.002390137
SYAP1|SYAP1,-0.219731174,0.02430821,-0.203697446,0.037142267
SYDE1|SYDE1,-0.215885699,0.034642735,-0.214393968,0.035943819
TAPBPL|TAPBPL,0.241108686,0.013222353,0.215242083,0.027447928
TDP2|TDP2,0.286280791,0.003070228,0.309739152,0.001302865
TFDP2|TFDP2,-0.242027541,0.048467918,-0.243491219,0.047083589
TFIP11|TFIP11,-0.194574757,0.046702964,-0.24186191,0.012929624
TMEM177|TMEM177,0.256301553,0.01475326,0.250164987,0.017404789
TNKS1BP1|TNKS1BP1,-0.287362697,0.002955757,-0.272931039,0.004848618
TPT1|TPT1,-0.242975442,0.012507218,-0.226699514,0.020043349
TRAF3IP3|TRAF3IP3,0.299472559,0.001912456,0.215872982,0.026986859
TRERF1|TRERF1,0.233633044,0.030389448,0.24271465,0.024341868
TRIM29|TRIM29,-0.195119043,0.046080283,-0.194419985,0.046881296
TRMT1|TRMT1,0.20956133,0.031909403,0.196625745,0.044392408
TSC22D3|TSC22D3,-0.224733429,0.021175973,-0.21026267,0.031327416
TTC22|TTC22,0.319828215,0.038946396,0.309118712,0.046377088
TTC38|TTC38,0.270640133,0.00523266,0.237800102,0.014577611
TWF1|TWF1,-0.217315578,0.025957287,-0.224448444,0.021344622
UBTD2|UBTD2,0.25239422,0.009390259,0.195713948,0.045407589
UCHL3|UCHL3,-0.219052112,0.024762493,-0.247803455,0.010811975
USP38|USP38,-0.209126482,0.044244191,-0.289337868,0.004908634
VIPAS39|VIPAS39,-0.246188697,0.011355084,-0.212664665,0.029401718
ZNF282|ZNF282,0.292904312,0.038991565,0.345841057,0.013891846
ZNF451|ZNF451,0.209280868,0.03214468,0.226858505,0.019954078
ZNRF2|ZNRF2,-0.228713092,0.018937757,-0.224830276,0.021118922
KRT18_pS18,-0.202448772,0.038344929,-0.208762004,0.032583811
KRT18_pY36,-0.314411896,0.042572605,-0.44699106,0.003000574
TPMT_pS14,-0.33130744,0.011821066,-0.265079823,0.046285923
NAT1_pY208,0.379710145,0.010092462,0.40517239,0.005762466
GRB10_pS382,-0.220924151,0.025656401,-0.212690448,0.031855832
MTUS1_pS1224,-0.3008628,0.008719592,-0.295925289,0.009944383
TTC7B_pS673_S677_S678,-0.311812635,0.009102868,-0.317536338,0.007845306
PLIN5_pS277,0.230896829,0.017798523,0.203688201,0.037151054
ZNF638_pS508,0.396693793,0.004772927,0.312607312,0.028750329
TAF9_pS149,0.288763662,0.037880961,0.298822594,0.031405809
KAZN_pS273,-0.20271314,0.038087617,-0.202534843,0.038260997
EXOC1_pS499,-0.24574201,0.012789175,-0.194750901,0.049824131
ABCF1_pS228,0.295506961,0.021888913,0.308084186,0.016630494
IFIT3_pS203,0.254606088,0.049626633,0.277134919,0.032056671
FOXK1_pS441_S445,-0.257129791,0.020486915,-0.220523781,0.047895648
TRIOBP_pS1955,-0.236267631,0.020474863,-0.209619644,0.040386607
AIM1L_pS224,-0.312814103,0.028639244,-0.313427648,0.02831176
SPP1_pS219,-0.250418448,0.011132358,-0.264756262,0.007164117
SPP1_pS275_S280,-0.349175436,0.001728548,-0.329305944,0.003240198
FILIP1L_pS1082,-0.226494569,0.028150939,-0.220727348,0.032529701
COASY_pS19,-0.279505241,0.020980145,-0.277963757,0.021728377
CDC16_pT578,0.318090856,0.037642149,0.31574127,0.039156813
CASZ1_pS1410,-0.32745094,0.004134773,-0.289531594,0.011751554
ARHGAP9_pS144,0.272865951,0.023303648,0.278655316,0.020420715
KIAA0368_pS1249,0.328686012,0.025729098,0.370465709,0.011265232
MYO5B_pS1644,-0.24617011,0.021538875,-0.212318679,0.04834709
ARHGEF28_pT622,-0.225852524,0.032321377,-0.237610834,0.024129252
KRT80_pS45,-0.245042758,0.012172619,-0.2702735,0.005523805
RAP1GAP2_pS9,0.228481233,0.019062326,0.251693493,0.009596033
TBC1D8_pS464,-0.30798506,0.041965386,-0.330285874,0.028549282
CDC27_pS357,0.350254394,0.015797264,0.396249631,0.005828737
ADD1_pS355,0.267297801,0.04641954,0.311452544,0.019461302
ACTN1_pS172,-0.267222235,0.03279137,-0.321130988,0.009672125
EPN1_pS419_S420,0.276463531,0.035659803,0.259919959,0.048791375
PLCH1_pS1494,-0.214357155,0.042479491,-0.209198196,0.047833999
PARN_pS558_S562,-0.374855936,0.007314763,-0.316414732,0.025177901
TOM1_pS160_T164,-0.242181889,0.037625027,-0.303149577,0.008652498
PPP1R13L_pS134,-0.214164746,0.039266804,-0.251625703,0.014971986
PPP1R13L_pS183_S187,-0.203585054,0.037249206,-0.212409525,0.029601384
CASKIN2_pS389,-0.282231798,0.004053856,-0.252856806,0.010345401
ARHGAP32_pY889,-0.374738867,0.007334565,-0.37056042,0.008072508
PLIN1_pS382,0.261599789,0.007025689,0.19548203,0.045668856
PLIN1_pS408,0.275860818,0.00439419,0.222464657,0.022550836
PLIN1_pS436,0.237599452,0.019754402,0.217531476,0.033253443
SIN3A_pT284,0.227919713,0.040715695,0.242348869,0.029268866
PTPN3_pS236_S239,-0.330220269,0.028582764,-0.339117853,0.024329495
ANK2_pT3814,0.280628878,0.01343126,0.227088373,0.047018942
C6orf141_pS25,-0.195622989,0.049937226,-0.199021732,0.046015078
PLEKHN1_pS524,-0.214456453,0.033041245,-0.204576126,0.042235618
RPTOR_pT548,0.286165605,0.039721412,0.285039918,0.040541372
RPTOR_pS561_S563,0.275180375,0.042016281,0.265950114,0.049699873
CCDC120_pS366,-0.36897216,0.000345455,-0.352091551,0.000665996
CHAMP1_pS603,-0.245014437,0.017929164,-0.271587119,0.008454446
PITPNM3_pS910,-0.336155893,0.019491343,-0.317833578,0.027707554
SPATA13_pS1263,0.335300994,0.00943124,0.29019987,0.025774427
TJP2_pY942,-0.293637754,0.010560963,-0.31290506,0.006269872
TJP2_pS944,-0.230884538,0.023621193,-0.218421207,0.03252211
CDK16_pS229,-0.234165981,0.019655169,-0.260083104,0.009326928
RABL6_pS641_S642,-0.239846531,0.025250372,-0.284512228,0.007566908
ARHGDIA_pS47,-0.36938323,0.007639666,-0.364113457,0.008622552
SECISBP2L_pS541,-0.294574276,0.032261467,-0.338864906,0.013062286
PI4KB_pT292,0.334898364,0.019980381,0.290277348,0.045348052
KIAA1522_pS215,-0.281869932,0.006195947,-0.222990439,0.031674961
KIAA1522_pS559,-0.334849785,0.004605578,-0.309022081,0.009242372
KIAA1522_pS577,-0.300875156,0.021734531,-0.258902261,0.049713574
LRBA_pS1052,-0.243993002,0.034897408,-0.252439375,0.028889575
LRBA_pS1574,-0.266613753,0.049111729,-0.275381747,0.041860217
CNOT2_pT246,-0.484192647,0.001157941,-0.463120464,0.002011637
BCL2L11_pS94,-0.295931978,0.021690588,-0.263782824,0.041700683
SMTN_pS411,-0.359308536,0.009612342,-0.328645777,0.018540974
SMTN_pS661,-0.259564298,0.035322773,-0.25668262,0.037484066
KIF1A_pS1471,-0.203357642,0.038408215,-0.235370863,0.01616342
CDC5L_pT404,0.266329156,0.011170907,0.311760907,0.002778756
DDX6_pS16,-0.34822944,0.012275431,-0.344521643,0.013297846
NOSIP_pS166,-0.297291794,0.034123059,-0.308549319,0.027600906
ARFGAP1_pS72,0.328059272,0.022824972,0.313687429,0.029921306
STIP1_pS63,-0.258968449,0.010028413,-0.278448917,0.005498696
RALGAPB_pS1315,0.328740469,0.018505142,0.276914076,0.049161036
PDXDC1_pS707,-0.243970597,0.025323412,-0.241569453,0.026846477
FAM65B_pS370,0.212187814,0.044667022,0.211049083,0.045852176
REPS1_pS401_NP_001273540.1,0.253725964,0.024994681,0.256799745,0.023232948
CRIP2_pS195,-0.377075099,0.010669491,-0.409749524,0.005186347
EIF4B_pS597,-0.326915245,0.019206237,-0.342194863,0.013976006
BLOC1S1_pS22,0.306724592,0.028581134,0.320138634,0.02200927
AHNAK_pS177,-0.309387755,0.028792145,-0.289155519,0.041684381
AHNAK_pS1782,-0.236500392,0.01514212,-0.205328048,0.035619537
AHNAK_pS2185,-0.237148967,0.014858094,-0.200736178,0.040047319
AHNAK_pS2313,-0.228698831,0.022792785,-0.213471561,0.03387472
AHNAK_pS2836,-0.288542444,0.003271075,-0.280696169,0.004268029
AHNAK_pS3294,-0.259132355,0.007601204,-0.228913299,0.018830758
AHNAK_pS3416,-0.272317451,0.005869921,-0.24328869,0.014224588
AHNAK_pS3672,-0.234935528,0.01584688,-0.227368895,0.019669808
AHNAK_pS4386,-0.255711249,0.009486466,-0.231802165,0.019064902
AHNAK_pS4486,-0.216247306,0.031569972,-0.215302887,0.032338812
AHNAK_pS5293,-0.296007095,0.006587048,-0.348390043,0.001248321
AHNAK_pS5400,-0.253758666,0.011263043,-0.248517746,0.013124958
AHNAK_pS5500,-0.263939961,0.038182998,-0.257410209,0.043406571
AHNAK_pS5577,-0.19944188,0.044465316,-0.245974768,0.012701895
AHNAK_pS5589,-0.334817719,0.004609732,-0.355639074,0.002516465
AHNAK_pS5749_S5752,-0.233333161,0.01659781,-0.221512277,0.023150359
DES_pS28_S32,0.274172647,0.018085662,0.23316763,0.045577505
EIF5_pT227,-0.329862253,0.005641643,-0.316663676,0.008026617
KRT19_pS234,-0.238094181,0.041074994,-0.240390061,0.039106376
MKI67_pT1801,-0.267303846,0.012844489,-0.232131228,0.03150258
OAS2_pT405,0.341472786,0.013230472,0.343344111,0.012703724
PRKCB_pT641,0.201443138,0.039337067,0.201309694,0.039470319
PRKCB_pS660,0.358484615,0.000335302,0.308025501,0.002265026
PTPN12_pS603,0.295389364,0.046260085,0.41072045,0.004578703
RING1_pS229,0.261405819,0.045515777,0.295389068,0.023127417
SVIL_pS340,-0.242720617,0.033424637,-0.230906595,0.043336876
UVRAG_pS498,-0.427275189,0.001139924,-0.365812573,0.00602298
FADD_pS41,0.232809192,0.036478954,0.235835283,0.034046311
SCEL_pS369,-0.283406489,0.043875459,-0.284743857,0.042846642
AP3D1_pS632,0.279627955,0.01315997,0.291013292,0.009741587
AP3D1_pS632_S634,0.437664601,0.003748684,0.409125228,0.007138963
EIF4EBP1_pT70,-0.24584139,0.011474968,-0.201943588,0.038840681
UBE2L6_pS26,0.242479472,0.02626035,0.255668996,0.018910518
SOCS6_pS327,-0.302946241,0.008243745,-0.301886091,0.008482956
TRIP11_pS1842_S1854,-0.248602998,0.016267022,-0.25510893,0.013591278
DFFA_pY27,0.267143165,0.014629353,0.217037121,0.048738083
MAP4K2_pS385,-0.37393142,0.007472415,-0.3501985,0.0126615
PRRC2A_pT1607,0.299611784,0.012382949,0.368750097,0.001822236
MED1_pS664,-0.274148855,0.039051551,-0.33574902,0.010671391
ACTN4_pS191,-0.385865878,0.006755362,-0.319778668,0.026717068
PCBP2_pT169,-0.209464551,0.043894569,-0.233969533,0.023993567
ST5_pS449,-0.284288956,0.004998491,-0.296946739,0.003304096
ARHGEF5_pS517_S521,-0.323111343,0.011798922,-0.273199095,0.034683409
KRT7_pS36,-0.245603826,0.017646525,-0.288670267,0.005013153
KRT7_pS37,-0.284852649,0.018552182,-0.299615922,0.01305735
KRT7_pS254,-0.285998776,0.004108486,-0.303603801,0.002251317
STMN1_pS16_S25,-0.27220842,0.008299829,-0.274334344,0.007789428
UFD1L_pS294,-0.213429593,0.04340368,-0.240684327,0.022305975
DNAJA2_pS123,-0.351386589,0.01934241,-0.3521882,0.019049008
MAP1B_pS828_S831_S832,-0.254287355,0.03936314,-0.325969517,0.007563222
MAP1B_pS1016,-0.318927809,0.00712471,-0.360535665,0.002169658
MAP1B_pT1932,-0.307160984,0.042545812,-0.333377659,0.027007859
MAP3K5_pS1033,0.287827405,0.033099371,0.315890593,0.018803415
IK_pS417,-0.260620801,0.02932741,-0.29841587,0.012099529
PCBP1_pS273,0.434563268,0.00065308,0.356650062,0.005995211
PLCL1_pS47,-0.360604955,0.005021285,-0.298250806,0.021768601
TLN1_pS425,-0.23947179,0.025486417,-0.245627717,0.021837793
NCOR2_pS939,-0.276932573,0.006305255,-0.268024821,0.008286008
RBM14_pS215_Y226,0.299887152,0.034357157,0.291926561,0.039679712
BAIAP2_pS446,-0.386533408,0.003556989,-0.350256318,0.008753816
GAS2L1_pS490,-0.271819885,0.009551529,-0.233845761,0.02653448
GAS2L1_pS492,-0.396463739,0.001077491,-0.30619664,0.013114894
ERF_pS131,-0.344539071,0.012376863,-0.334596716,0.015329821
ZNF217_pS441_S445,-0.449334567,0.001959042,-0.310409099,0.037962224
NCOA2_pS895,-0.365570855,0.013531916,-0.459659077,0.001490351
RALBP1_pS461,-0.306868405,0.030189015,-0.282248988,0.047044043
RNF113A_pS253,-0.23277578,0.01855339,-0.243028673,0.013845839
TESK2_pS456_S460,0.237386994,0.040294645,0.310830351,0.006642745
EPB41L1_pS650,-0.200831205,0.046236893,-0.197611046,0.04992413
SHANK2_pS831,-0.28313911,0.024539632,-0.266831116,0.034516269
SF3B1_pS129,-0.254560346,0.008778478,-0.250076557,0.01008604
TRA2A_pT88,0.280762417,0.043784983,0.276535784,0.047195715
AFF4_pS703,-0.249547624,0.011425837,-0.267303839,0.006608145
AFF4_pS703_S706,-0.275497393,0.005780571,-0.286731883,0.004009792
ARHGEF16_pS208,-0.23731085,0.016323676,-0.213561804,0.03114495
SH3BP4_pS122,-0.520768142,0.000244981,-0.519695407,0.00025363
TMOD3_pS25,-0.259398985,0.009521209,-0.249327817,0.012820734
MAML1_pS314,-0.308550537,0.003847679,-0.270871055,0.011650891
CEP131_pS496,-0.382695803,0.003603412,-0.353534544,0.007520811
WDFY3_pS3339,-0.220065185,0.028617296,-0.198026543,0.049435143
FRYL_pT1915,0.250468617,0.032576586,0.239619996,0.041168569
EXPH5_pS1853,-0.284834568,0.020447375,-0.28224479,0.021672769
MAST2_pS900,-0.35205605,0.000284892,-0.365090273,0.000161368
ALMS1_pS2102,-0.263653446,0.032434871,-0.290239844,0.018078783
FRMD4B_pS372,-0.292458164,0.009850586,-0.24003187,0.035495006
RPRD2_pS908,-0.34295191,0.015850005,-0.298057315,0.037518337
ANKS1A_pS676,-0.268783765,0.008098123,-0.291517654,0.003954954
ANKS1A_pS677,-0.256364243,0.014728088,-0.279431123,0.007648297
